
time;gFx;gFy;gFz;Azimuth;Pitch;Roll;
12,789990;-0,0645;0,7808;0,6157;209,4246;-51,5926;-5,9813;
12,890960;0,0088;0,7759;0,6020;207,5295;-52,5087;-0,1448;
12,991649;0,0254;0,7857;0,5785;207,5643;-53,6061;1,8533;
13,092474;0,0655;0,8150;0,5756;206,4531;-54,5949;4,5926;
13,193095;0,0459;0,7935;0,5824;208,9400;-54,0210;3,2448;
13,294173;0,0215;0,7994;0,5971;212,1132;-53,2245;1,5406;
13,394998;0,0010;0,7613;0,5834;211,8926;-52,0967;0,6604;
13,512467;0,0068;0,7593;0,5834;210,1178;-51,5103;-0,7479;
13,596392;0,0156;0,7427;0,6391;210,8040;-49,7609;-0,0002;
13,696931;-0,0029;0,7661;0,6919;210,3658;-48,6799;-0,2488;
13,797385;0,0430;0,7613;0,6792;207,3835;-48,2048;3,6220;
13,898172;0,0117;0,7720;0,6753;208,7440;-48,6545;0,0007;
14,000747;0,0254;0,7466;0,6665;206,1592;-48,1606;2,1056;
14,099419;0,0342;0,7290;0,6841;206,1640;-46,6420;1,2409;
14,200818;0,0313;0,6850;0,6489;205,5118;-46,3002;1,9119;
14,300546;0,0381;0,6714;0,7505;204,4401;-41,7770;2,9062;
14,401940;0,1046;0,6459;0,7544;203,3083;-40,3086;7,8782;
14,502644;0,0606;0,5893;0,7231;204,0461;-39,0773;4,7894;
14,602907;0,0557;0,6078;0,8140;203,3588;-36,6255;4,0858;
14,703833;0,1055;0,5863;0,8160;200,6272;-35,4741;7,3696;
14,805107;0,0811;0,5130;0,8316;202,0038;-31,5497;5,5705;
14,905362;0,0420;0,4896;0,8512;202,1070;-30,3024;2,5152;
15,008223;0,0264;0,4437;0,8873;200,9722;-26,6648;2,7958;
15,108337;0,0479;0,3928;0,9284;200,7344;-22,9091;2,9515;
15,209419;0,0303;0,3371;0,9147;200,6629;-20,1712;2,2103;
15,310534;0,0479;0,3215;0,9938;200,5617;-17,9070;2,7580;
15,411083;0,0205;0,2306;0,9587;199,7842;-12,5129;2,3021;
15,511987;0,0117;0,1417;0,8990;199,5992;-8,9562;0,7477;
15,611899;0,0205;0,1974;0,9938;201,5170;-11,2321;1,1830;
15,713129;0,0391;0,1358;1,0417;200,3116;-8,1533;2,0267;
15,814183;-0,0107;0,0410;0,9635;199,9722;-2,4391;-0,6388;
15,913652;0,0176;0,0088;0,9987;198,7436;-1,1757;1,0640;
16,015330;0,0156;-0,0020;1,0114;198,4968;0,1115;0,8849;
16,115957;-0,0029;-0,0899;0,9704;198,4449;5,9060;-0,4647;
16,217187;-0,0156;-0,1476;0,9714;199,9504;8,6371;-0,9225;
16,316630;-0,0166;-0,1046;1,0183;200,7822;5,8621;-0,9346;
