time;gFx;gFy;gFz;Latitude;Longitude;Speed (m/s);Altitude (m);
11,659551;0,2453;0,1915;1,0613;55,74809000;48,74287000;0,80451083;191,00000000;
11,760287;0,0616;0,2111;0,6997;55,74809000;48,74287000;0,80451083;191,00000000;
11,860666;0,1524;0,3391;0,7290;55,74809000;48,74287000;0,80451083;191,00000000;
11,960661;0,1906;0,3811;0,8277;55,74809000;48,74287000;0,80451083;191,00000000;
12,062223;0,2277;0,3313;0,9909;55,74809000;48,74287000;0,80451083;191,00000000;
12,161825;0,2140;0,2169;1,1805;55,74809000;48,74287000;0,80451083;191,00000000;
12,262373;0,2238;0,1818;0,7916;55,74809000;48,74287000;0,80451083;191,00000000;
12,362481;0,0205;0,2658;0,6440;55,74809000;48,74287000;0,80451083;191,00000000;
12,463590;-0,0137;0,3068;0,8736;55,74809000;48,74287000;0,80451083;190,80000000;
12,564410;-0,1261;0,3274;1,0769;55,74809667;48,74288667;0,35052583;190,80000000;
12,664958;-0,1505;0,2883;1,0105;55,74809667;48,74288667;0,35052583;190,80000000;
12,765307;-0,0772;0,1358;0,9391;55,74809667;48,74288667;0,35052583;190,80000000;
12,865722;0,1456;0,1407;1,0681;55,74809667;48,74288667;0,35052583;190,80000000;
12,966008;0,1681;0,2746;0,6831;55,74809667;48,74288667;0,35052583;190,80000000;
13,066607;0,0919;0,1681;0,8942;55,74809667;48,74288667;0,35052583;190,80000000;
13,167646;0,1065;0,2111;0,9411;55,74809667;48,74288667;0,35052583;190,80000000;
13,268687;0,0537;0,2560;0,9313;55,74809667;48,74288667;0,35052583;190,80000000;
13,367751;0,1329;0,3469;0,8756;55,74809667;48,74288667;0,35052583;190,80000000;
13,468224;-0,0547;0,3196;0,9088;55,74809667;48,74288667;0,35052583;190,80000000;
13,569317;0,0264;0,3176;1,0945;55,74809667;48,74288667;0,35052583;190,80000000;
13,669810;-0,1085;-0,0137;1,3623;55,74809667;48,74288667;0,35052583;190,80000000;
13,770500;0,1544;0,1573;0,7241;55,74809667;48,74288667;0,35052583;190,80000000;
